m,I_RT,b1_RT,b2_RT,I_Acc,b1_Acc,b2_Acc
0,1.98441513623716,-0.593936316718017,-0.167087610527337,0.458230254420737,-0.0196515360922711,0.634921748933068
0.1,2.31129011157756,-0.499641830320707,-0.177530563907073,0.464260179070415,0.00137418591699808,0.653594019825238
0.2,2.53418604765974,-0.423336459340585,-0.18312751697704,0.468558838752435,0.0106540452823583,0.666230918554139
0.3,2.68437999617031,-0.373269033105999,-0.186643341399397,0.471423945412298,0.0174749346536833,0.676020674221092
0.4,2.78937410250288,-0.341222951794439,-0.188638815166029,0.472501154523511,0.0221705375502717,0.684382094483358
0.5,2.86375211098574,-0.318803027351564,-0.191088787288907,0.47502523281888,0.0292241277093176,0.692796922759418
0.6,2.91709500406118,-0.306205037481503,-0.193958499714414,0.477357750328793,0.0303186330883986,0.703173941968147
0.7,2.95774688313002,-0.297748021790161,-0.197988225366671,0.478436964333844,0.0293562186320673,0.705312404248742
0.8,2.98587067480494,-0.294064046235046,-0.202826975252058,0.480425698284119,0.037720417879417,0.71595344491588
0.9,3.00581356294869,-0.2925791988922,-0.207342124441724,0.482918889085772,0.0352187829959409,0.71799328878673
1,3.01882739703833,-0.294156990622822,-0.213500744771064,0.485133210636651,0.0390142284796553,0.728826913785431
