theta,I_RT,b1_RT,b2_RT,I_Acc,b1_Acc,b2_Acc
60,2.11047784584478,-0.186934050018846,-0.111051002894816,0.458179476273407,0.0259711796356389,0.648604718128179
70,2.38742445760248,-0.225220325368972,-0.137173598589442,0.464402377180194,0.0280663049124882,0.667263822298797
80,2.65564365764228,-0.264792436370592,-0.165419122146785,0.471341911071763,0.0289621550412881,0.684669319638415
90,2.91843723132496,-0.305217128309719,-0.193730374331184,0.475622562497535,0.0300918243256576,0.698642642179412
100,3.17399944773884,-0.347424012307577,-0.22392345310288,0.481808421687422,0.0294295896014819,0.712739425922502
110,3.42462876318529,-0.390715848500294,-0.255108678817823,0.485906911182336,0.032133594750856,0.72577627521823
120,3.67052504450252,-0.433692463923113,-0.286270865635285,0.491128447383973,0.0287186831005481,0.736804368954782
130,3.90998013919587,-0.478831441000346,-0.319320555243009,0.495367321918724,0.0292997859057769,0.742046644896774
140,4.14889166020614,-0.522596730699802,-0.352822211420645,0.498415089656883,0.0309963083625738,0.757461075758654
150,4.3814530628496,-0.569250889582068,-0.387300357357809,0.501555350820862,0.0308441794236196,0.76618982529531
160,4.6096007990894,-0.615255147668763,-0.419382662629273,0.505223978199713,0.0319850281405121,0.773397232711743
